LIB,VER,YEAR,NUMCHUNKS
BROND,2.2,1992,7763
BROND,3.1,2016,40940
CENDL,2,1991,4496
CENDL,3.1,2009,18582
EAF,2010,2010,139724
ENDFB,6.8,2002,6541
ENDFB,7,2006,38141
ENDFB,7.1,2011,46593
ENDFB,8,2018,81596
FENDL,3.1d,2018,22280
JEFF,2.2,1992,1335
JEFF,3,2002,17894
JEFF,3.1,2005,24459
JEFF,3.1.1,2009,24501
JEFF,3.1.2,2012,27846
JEFF,3.2,2014,62064
JEFF,3.3,2017,98579
JENDL,3.2,1994,21727
JENDL,3.3,2002,23306
JENDL,4,2010,34727
JENDL,4.0u,2016,34907
ROSFOND,2008,2008,38527
ROSFOND,2010,2010,38581
TENDL,2008,2008,56232
TENDL,2009,2009,295024
TENDL,2010,2010,302636
TENDL,2011,2011,347106
TENDL,2012,2012,103681
TENDL,2013,2013,496947
TENDL,2014,2014,826917
TENDL,2015,2015,517257
TENDL,2017,2017,508621
