,M2,MAT,Z,A,M,N,NAME
1,1001,125,1,1,g,0,H
2,1002,128,1,2,g,1,H
3,4009,425,4,9,g,5,Be
4,5010,525,5,10,g,5,B
5,5011,528,5,11,g,6,B
6,6000,600,6,0,g,-6,C
7,7014,725,7,14,g,7,N
8,7015,728,7,15,g,8,N
9,8016,825,8,16,g,8,O
10,9019,925,9,19,g,10,F
11,11023,1125,11,23,g,12,Na
12,12024,1225,12,24,g,12,Mg
13,12025,1228,12,25,g,13,Mg
14,12026,1231,12,26,g,14,Mg
15,13027,1325,13,27,g,14,Al
16,14028,1425,14,28,g,14,Si
17,14029,1428,14,29,g,15,Si
18,14030,1431,14,30,g,16,Si
19,15031,1525,15,31,g,16,P
20,16032,1625,16,32,g,16,S
21,16033,1628,16,33,g,17,S
22,16034,1631,16,34,g,18,S
23,16036,1637,16,36,g,20,S
24,20040,2025,20,40,g,20,Ca
25,20042,2031,20,42,g,22,Ca
26,20043,2034,20,43,g,23,Ca
27,20044,2037,20,44,g,24,Ca
28,20046,2043,20,46,g,26,Ca
29,20048,2049,20,48,g,28,Ca
30,22046,2225,22,46,g,24,Ti
31,22047,2228,22,47,g,25,Ti
32,22048,2231,22,48,g,26,Ti
33,22049,2234,22,49,g,27,Ti
34,22050,2237,22,50,g,28,Ti
35,23050,2325,23,50,g,27,V
36,23051,2328,23,51,g,28,V
37,24050,2425,24,50,g,26,Cr
38,24052,2431,24,52,g,28,Cr
39,24053,2434,24,53,g,29,Cr
40,24054,2437,24,54,g,30,Cr
41,25055,2525,25,55,g,30,Mn
42,26054,2625,26,54,g,28,Fe
43,26056,2631,26,56,g,30,Fe
44,26057,2634,26,57,g,31,Fe
45,26058,2637,26,58,g,32,Fe
46,28058,2825,28,58,g,30,Ni
47,28060,2831,28,60,g,32,Ni
48,28061,2834,28,61,g,33,Ni
49,28062,2837,28,62,g,34,Ni
50,28064,2843,28,64,g,36,Ni
51,29063,2925,29,63,g,34,Cu
52,29065,2931,29,65,g,36,Cu
53,31069,3125,31,69,g,38,Ga
54,31071,3131,31,71,g,40,Ga
55,40090,4025,40,90,g,50,Zr
56,40091,4028,40,91,g,51,Zr
57,40092,4031,40,92,g,52,Zr
58,40094,4037,40,94,g,54,Zr
59,40096,4043,40,96,g,56,Zr
60,41093,4125,41,93,g,52,Nb
61,42092,4225,42,92,g,50,Mo
62,42094,4231,42,94,g,52,Mo
63,42095,4234,42,95,g,53,Mo
64,42096,4237,42,96,g,54,Mo
65,42097,4240,42,97,g,55,Mo
66,42098,4243,42,98,g,56,Mo
67,42100,4249,42,100,g,58,Mo
68,48106,4825,48,106,g,58,Cd
69,48108,4831,48,108,g,60,Cd
70,48110,4837,48,110,g,62,Cd
71,48111,4840,48,111,g,63,Cd
72,48112,4843,48,112,g,64,Cd
73,48113,4846,48,113,g,65,Cd
74,48114,4849,48,114,g,66,Cd
75,48116,4855,48,116,g,68,Cd
76,50112,5025,50,112,g,62,Sn
77,50114,5031,50,114,g,64,Sn
78,50115,5034,50,115,g,65,Sn
79,50116,5037,50,116,g,66,Sn
80,50117,5040,50,117,g,67,Sn
81,50118,5043,50,118,g,68,Sn
82,50119,5046,50,119,g,69,Sn
83,50120,5049,50,120,g,70,Sn
84,50122,5055,50,122,g,72,Sn
85,50124,5061,50,124,g,74,Sn
86,64152,6425,64,152,g,88,Gd
87,64154,6431,64,154,g,90,Gd
88,64155,6434,64,155,g,91,Gd
89,64156,6437,64,156,g,92,Gd
90,64157,6440,64,157,g,93,Gd
91,64158,6443,64,158,g,94,Gd
92,64160,6449,64,160,g,96,Gd
93,74182,7431,74,182,g,108,W
94,74183,7434,74,183,g,109,W
95,74184,7437,74,184,g,110,W
96,74186,7443,74,186,g,112,W
97,79197,7925,79,197,g,118,Au
98,82204,8225,82,204,g,122,Pb
99,82206,8231,82,206,g,124,Pb
100,82207,8234,82,207,g,125,Pb
101,82208,8237,82,208,g,126,Pb
102,90232,9040,90,232,g,142,Th
103,92232,9219,92,232,g,140,U
104,92233,9222,92,233,g,141,U
105,92234,9225,92,234,g,142,U
106,92235,9228,92,235,g,143,U
107,92236,9231,92,236,g,144,U
108,92238,9237,92,238,g,146,U
109,93237,9346,93,237,g,144,Np
110,94238,9434,94,238,g,144,Pu
111,94239,9437,94,239,g,145,Pu
112,94240,9440,94,240,g,146,Pu
113,94241,9443,94,241,g,147,Pu
114,94242,9446,94,242,g,148,Pu
115,95241,9543,95,241,g,146,Am
116,95243,9549,95,243,g,148,Am
