SAMPLEID,Ag109,Ag110m,Am0,Am241,Am242,Am242m,Am243,C14,Ce140,Ce142,Ce144,Cm0,Cm242,Cm243,Cm244,Cm245,Cm246,Cm247,Cs0,Cs133,Cs134,Cs135,Cs137,Eu0,Eu151,Eu152,Eu153,Eu154,Eu155,Gd0,Gd152,Gd154,Gd155,Gd156,Gd157,Gd158,Gd160,H3,I129,La139,Mo100,Mo95,Mo97,Mo98,Nb95,Nd0,Nd142,Nd143,Nd144,Nd145,Nd146,Nd148,Nd150,Np237,Pd105,Pd108,Pm147,Pr144,Pu0,Pu236,Pu238,Pu239,Pu240,Pu241,Pu242,Pu244,Rh103,Ru101,Ru103,Ru106,Sb125,Se79,Sm0,Sm147,Sm148,Sm149,Sm150,Sm151,Sm152,Sm154,Sn126,Sr90,Tc99,U0,U232,U233,U234,U235,U236,U238,Zr95,RTYPE,EU235,EPU,EPUFISS,EBUP
BAL-2|1476|42|15,0,0,0,0.048,0,0,0.141,0,0,0,0,0,0.021,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,1.053,1.761,0.889,0.948,0,0,0,0,0,0,0,0,0,0.3,6.07,2.58,1.7,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.64,6.17,926.55,0,VVER-1000,4.4,0,0,45.1
BAL-2|1476|42|31,0,0,0,0,0,0,0.146,0,0,0,0,0,0,0,0.053900000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489,0,0,0,0,0,0,0,1.9e-6,0.303,6.19,2.65,1.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,10.66,6,925,0,VVER-1000,4.4,0,0,45.8
BAL-2|1476|42|6,0,0,0,0.066,0,0,0.157,0,0,0,0,0,0.024,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,1.07,1.821,0.912,0.975,0,0,0,0,0,0,0,0,0,0.31,6.1,2.67,1.76,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27,6.11,925.18,0,VVER-1000,4.4,0,0,46.7
BAL-3|1591|23|581,0,0,0,0.071,0,0,0.192,0,0,0,0,0,0.023,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,1.099,1.938,0.922,1.007,0,0,0,0,0,0,0,0,0,0.33,6.08,2.68,1.76,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18,6.34,925.66,0,VVER-1000,4.4,0,0,47.9
BAL-3|1591|23|912,0,0,0,0.054,0,0,0.151,0,0,0,0,0,0.021,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,1.056,1.797,0.899,0.961,0,0,0,0,0,0,0,0,0,0.32,6.26,2.62,1.76,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18,6.15,925.48,0,VVER-1000,4.4,0,0,46.2
BEZ-1|M109|D3|BM1,0.100095,0,0,2.2465,0,0.017125,1.1935,0,0,0,0.0049749500000000006,0,3.415e-4,0.008973,0.5631999999999999,0.06987499999999999,0.007674,0,0,1.554,0.031935000000000005,1.0058,1.577,0,0.0013841,0,0.2212,0.041805,0.009785,0,0,0.03074,0.009087000000000001,0.1736,0,0.04708,0.003812,0,0,0,0,0.68235,0,0,0,0,0.01957,1.00965,1.3275000000000001,0.7946500000000001,0.8428500000000001,0.50705,0.304,0.1702,0,0,0.07271,0,0,0,1.194,12.99,12.875,5.281,4.18,7.771e-4,0.5003,0.5746,0,0.1571,0.007639,0,0,0.2813,0.21665,0.005700500000000001,0.4146,0.026994999999999998,0.18375,0.090805,0,0.36129999999999995,0.6772,0,0,0,0.078955,0.9591000000000001,0.29100000000000004,912.6,0,PWR,0.237,6.011,70.506,47
BEZ-1|M308|K7|BM5,0.1236,0,0,1.225,0,0.0118,0.9801,0,0,0,0.01407,0,0,0,0.8497,0.1036,0.0169,0,0,1.792,0.08236,1.214,1.962,0,8.565e-4,0,0.2632,0.06001,0.01384,0,0,0.03131,0.009268,0.2949,0,0.06523,0.004889,0,0.1001,0,0,1.063,0,0,0,0,0.03233,1.089,1.656,0.9166,1.067,0.616,0.363,0.1985,0,0,0.07566,0,0,0,0.9812,10.49,10.88,5.071,3.993,0,1.214,1.452,0,0.2859,0.01001,0,0,0.2779,0.329,0.005842,0.5343,0.02768,0.1997,0.1202,0,0.456,1.214,0,0,0,0.05082,0.8383,0.304,905.2,0,PWR,0.231,5.5,72.64,58.9
BEZ-1|M308|K7|BM5',0.1872,0,0,1.282,0,0.01202,1.063,0,0,0,0.01906,0,0.00169,0.007827,0.802,0.09937,0.01588,0,0,1.724,0.08394,1.18,1.894,0,8.803e-4,0,0.2643,0.0574,0.01531,0,0,0,0.008326,0,0,0,0,0,0.2541,0,0,1.021,0,0,0,0,0.03369,1.18,1.758,0.954,1.087,0.6228,0.3721,0.2087,0,0,0.08304,0,0,0,1.129,11.12,11.46,5.218,4.163,0.001134,0.6988,1.014,0,0.2146,0.008141,0,0,0.2654,0.3074,0.004628,0.4912,0.02484,0.1792,0.1006,0,0.3562,1.099,0,0,0,0.05638,0.6648,0.3051,905.2,0,PWR,0.231,5.5,72.64,58.9
BEZ-1|M308|K7|BM6,0.1599,0,0,1.906,0,0.02496,0.8247,0,0,0,0.00979,0,0,0,0.3154,0.03369,0.002734,0,0,1.225,0.03664,0.9733,1.248,0,9.415e-4,0,0.1724,0.03641,0.008553,0,0,0.01622,0.00498,0.1114,0,0.03437,0.002904,0,0.09461,0,0,0.7113,0,0,0,0,0.0106,0.7237,0.9404,0.6069,0.6262,0.3868,0.2246,0.1418,0,0,0.06035,0,0,0,0.8871,15.09,12.36,5.173,2.7,0,0.8258,0.8894,0,0.1815,0.007294,0,0,0.2291,0.1656,0.005286,0.3199,0.02757,0.1577,0.07101,0,0.2643,0.7668,0,0,0,0.05615,1.084,0.2371,905.2,0,PWR,0.231,5.5,72.64,39.6
BRD-1|4|D|D,0,0,0,0.07536,0,0,0.007891,0,0,0,0.004554,0,1.549e-4,0,0.001193,0,0,0,0,0,0.004254,0,0.2696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.732e-6,0,0.004932,0.214,0.3432,0.1795,0.1746,0.09962,0.0503,0,0,0,0,1.936e-7,0,0,0.02905,2.262,1.323,0.2574,0.1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.948,0.7825,983.5,1.885e-5,MAGNOX,0.71097,0,0,8.932
