Reactor name;Reactor type;Reactor design;Assembly identifier;Rod identifier;Sample identifier;Estimated burnup;e. U235;e. Pu;e. Pu239 + Pu241;SFCompo sample ref;Measurement type;Item;Z;A;I;Value;Unit;Concentration;Concentration Unit;Sigma;Uncertainty
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Burnup;Burnup;;;;45.1;MW*d/kgUi;;;2;1.55 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;Am241;95;241;0;0.048;mg/gUi;0.048;mg/gUi;2;4.17 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;Am243;95;243;0;0.141;mg/gUi;0.141;mg/gUi;2;2.84 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;Cm242;96;242;0;0.021;mg/gUi;0.021;mg/gUi;2;9.52 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;Cm244;96;244;0;0.055;mg/gUi;0.055;mg/gUi;2;10.91 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;Nd142;60;142;0;0.033;mg/gUi;0.033;mg/gUi;2;3.03 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;Nd143;60;143;0;1.053;mg/gUi;1.053;mg/gUi;2;0.76 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;Nd144;60;144;0;1.761;mg/gUi;1.761;mg/gUi;2;0.62 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;Nd145;60;145;0;0.889;mg/gUi;0.889;mg/gUi;2;0.67 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;Nd146;60;146;0;0.948;mg/gUi;0.948;mg/gUi;2;0.63 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;Pu238;94;238;0;0.3;mg/gUi;0.3;mg/gUi;2;3.33 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;Pu239;94;239;0;6.07;mg/gUi;6.07;mg/gUi;2;0.66 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;Pu240;94;240;0;2.58;mg/gUi;2.58;mg/gUi;2;0.78 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;Pu241;94;241;0;1.7;mg/gUi;1.7;mg/gUi;2;0.59 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;Pu242;94;242;0;0.69;mg/gUi;0.69;mg/gUi;2;1.45 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;U235;92;235;0;10.64;mg/gUi;10.64;mg/gUi;2;0.66 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;U236;92;236;0;6.17;mg/gUi;6.17;mg/gUi;2;0.65 %
Balakovo-2;VVER-1000;320;1476;42;15;45.1 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|15;Isotopic Concentration;U238;92;238;0;926.55;mg/gUi;926.55;mg/gUi;2;0.01 %
Balakovo-2;VVER-1000;320;1476;42;31;45.8 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|31;Burnup;Burnup;;;;45.8;MW*d/kgUi;;;2;1.97 %
Balakovo-2;VVER-1000;320;1476;42;31;45.8 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|31;Isotopic Concentration;Am243;95;243;0;146;mg/kgUi;0.146;mg/gUi;2;1.37 %
Balakovo-2;VVER-1000;320;1476;42;31;45.8 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|31;Isotopic Concentration;Cm244;96;244;0;53.9;mg/kgUi;0.0539;mg/gUi;2;0.37 %
Balakovo-2;VVER-1000;320;1476;42;31;45.8 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|31;Isotopic Concentration;Nd148;60;148;0;0.489;mg/gUi;0.489;mg/gUi;2;1.02 %
Balakovo-2;VVER-1000;320;1476;42;31;45.8 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|31;Isotopic Concentration;Pu236;94;236;0;1.9;mg/tUi;0.0000019;mg/gUi;2;21.05 %
Balakovo-2;VVER-1000;320;1476;42;31;45.8 GW*d/tHMi;4.4 wt%;;;BAL-2|1476|42|31;Isotopic Concentration;Pu238;94;238;0;0.303;mg/gUi;0.303;mg/gUi;2;0.99 %
