"","MODEL","CALCERR","LIBVER","FULLID","CALCVAL","INST","CODE"
"1",NA,7e-05,"LIB-2.0","HEU-COMP-INTER-003-001",1.0164438,"TEST2","CODE-1.0"
"2",NA,8e-05,"LIB-2.0","HEU-COMP-INTER-003-002",1.0159085,"TEST2","CODE-1.0"
"3",NA,8e-05,"LIB-2.0","HEU-COMP-INTER-003-003",1.0155752,"TEST2","CODE-1.0"
"4",NA,8e-05,"LIB-2.0","HEU-COMP-INTER-003-004",1.0140602,"TEST2","CODE-1.0"
"5",NA,8e-05,"LIB-2.0","HEU-COMP-INTER-003-005",1.0157974,"TEST2","CODE-1.0"
"6",NA,8e-05,"LIB-2.0","HEU-COMP-INTER-003-006",1.0060812,"TEST2","CODE-1.0"
"7",NA,8e-05,"LIB-2.0","HEU-COMP-INTER-003-007",1.0058287,"TEST2","CODE-1.0"
"8",NA,4e-05,"LIB-2.0","HEU-COMP-INTER-005-001",1.0510767,"TEST2","CODE-1.0"
"9",NA,4e-05,"LIB-2.0","HEU-COMP-INTER-005-002",1.1086972,"TEST2","CODE-1.0"
"10",NA,4e-05,"LIB-2.0","HEU-COMP-INTER-005-003",1.0616009,"TEST2","CODE-1.0"
"11",NA,4e-05,"LIB-2.0","HEU-COMP-INTER-005-004",1.1887498,"TEST2","CODE-1.0"
"12",NA,4e-05,"LIB-2.0","HEU-COMP-INTER-005-005",0.9423502,"TEST2","CODE-1.0"
"13","Godiva",6e-05,"LIB-2.0","HEU-MET-FAST-001-001",1.0097677,"TEST2","CODE-1.0"
"14",NA,6e-05,"LIB-2.0","HEU-MET-FAST-002-002",1.0123028,"TEST2","CODE-1.0"
"15",NA,6e-05,"LIB-2.0","HEU-MET-FAST-002-003",1.0103838,"TEST2","CODE-1.0"
"16",NA,7e-05,"LIB-2.0","HEU-MET-FAST-002-004",1.0095455,"TEST2","CODE-1.0"
"17",NA,7e-05,"LIB-2.0","HEU-MET-FAST-002-005",1.0098889,"TEST2","CODE-1.0"
"18",NA,7e-05,"LIB-2.0","HEU-MET-FAST-002-006",1.0112625,"TEST2","CODE-1.0"
"19",NA,6e-05,"LIB-2.0","HEU-MET-FAST-003-001",1.0049702,"TEST2","CODE-1.0"
"20",NA,6e-05,"LIB-2.0","HEU-MET-FAST-003-002",1.0043945,"TEST2","CODE-1.0"
"21",NA,6e-05,"LIB-2.0","HEU-MET-FAST-003-003",1.0089597,"TEST2","CODE-1.0"
"22",NA,7e-05,"LIB-2.0","HEU-MET-FAST-003-004",1.0072427,"TEST2","CODE-1.0"
"23",NA,6e-05,"LIB-2.0","HEU-MET-FAST-003-005",1.0114544,"TEST2","CODE-1.0"
"24",NA,7e-05,"LIB-2.0","HEU-MET-FAST-003-006",1.0115655,"TEST2","CODE-1.0"
"25",NA,7e-05,"LIB-2.0","HEU-MET-FAST-003-007",1.01202,"TEST2","CODE-1.0"
"26",NA,7e-05,"LIB-2.0","HEU-MET-FAST-003-008",1.0121311,"TEST2","CODE-1.0"
"27",NA,7e-05,"LIB-2.0","HEU-MET-FAST-003-009",1.0122523,"TEST2","CODE-1.0"
"28",NA,7e-05,"LIB-2.0","HEU-MET-FAST-003-010",1.0151005,"TEST2","CODE-1.0"
"29",NA,6e-05,"LIB-2.0","HEU-MET-FAST-003-011",1.0188981,"TEST2","CODE-1.0"
"30",NA,6e-05,"LIB-2.0","HEU-MET-FAST-003-012",1.0187062,"TEST2","CODE-1.0"
"31","3-D Idealization",8e-05,"LIB-2.0","HEU-MET-FAST-004-001",1.0129593,"TEST2","CODE-1.0"
"32",NA,6e-05,"LIB-2.0","HEU-MET-FAST-005-001",1.0051419,"TEST2","CODE-1.0"
"33",NA,7e-05,"LIB-2.0","HEU-MET-FAST-005-002",1.0079699,"TEST2","CODE-1.0"
"34",NA,7e-05,"LIB-2.0","HEU-MET-FAST-005-003",1.010505,"TEST2","CODE-1.0"
"35",NA,7e-05,"LIB-2.0","HEU-MET-FAST-005-004",1.0043137,"TEST2","CODE-1.0"
"36",NA,7e-05,"LIB-2.0","HEU-MET-FAST-005-005",1.0090001,"TEST2","CODE-1.0"
"37",NA,7e-05,"LIB-2.0","HEU-MET-FAST-005-006",1.0076669,"TEST2","CODE-1.0"
"38",NA,6e-05,"LIB-2.0","HEU-MET-FAST-007-001",1.0029805,"TEST2","CODE-1.0"
"39",NA,7e-05,"LIB-2.0","HEU-MET-FAST-007-002",1.0086567,"TEST2","CODE-1.0"
"40",NA,7e-05,"LIB-2.0","HEU-MET-FAST-007-003",1.0100606,"TEST2","CODE-1.0"
"41",NA,7e-05,"LIB-2.0","HEU-MET-FAST-007-004",1.0082729,"TEST2","CODE-1.0"
"42",NA,7e-05,"LIB-2.0","HEU-MET-FAST-007-005",1.0102424,"TEST2","CODE-1.0"
"43",NA,7e-05,"LIB-2.0","HEU-MET-FAST-007-006",1.015757,"TEST2","CODE-1.0"
"44",NA,7e-05,"LIB-2.0","HEU-MET-FAST-007-007",1.0115655,"TEST2","CODE-1.0"
"45",NA,7e-05,"LIB-2.0","HEU-MET-FAST-007-008",1.0094546,"TEST2","CODE-1.0"
"46",NA,7e-05,"LIB-2.0","HEU-MET-FAST-007-009",1.0134239,"TEST2","CODE-1.0"
"47",NA,8e-05,"LIB-2.0","HEU-MET-FAST-007-010",1.0092122,"TEST2","CODE-1.0"
"48",NA,6e-05,"LIB-2.0","HEU-MET-FAST-007-019",1.006768,"TEST2","CODE-1.0"
"49",NA,7e-05,"LIB-2.0","HEU-MET-FAST-007-020",1.0082224,"TEST2","CODE-1.0"
"50",NA,7e-05,"LIB-2.0","HEU-MET-FAST-007-021",1.0089597,"TEST2","CODE-1.0"
"51",NA,7e-05,"LIB-2.0","HEU-MET-FAST-007-022",1.0095152,"TEST2","CODE-1.0"
"52",NA,8e-05,"LIB-2.0","HEU-MET-FAST-007-023",1.009293,"TEST2","CODE-1.0"
"53",NA,8e-05,"LIB-2.0","HEU-MET-FAST-007-024",1.0096465,"TEST2","CODE-1.0"
"54",NA,8e-05,"LIB-2.0","HEU-MET-FAST-007-025",1.0085153,"TEST2","CODE-1.0"
"55",NA,8e-05,"LIB-2.0","HEU-MET-FAST-007-026",1.0086971,"TEST2","CODE-1.0"
"56",NA,8e-05,"LIB-2.0","HEU-MET-FAST-007-035",1.0123129,"TEST2","CODE-1.0"
"57",NA,6e-05,"LIB-2.0","HEU-MET-FAST-008-001",1.0058085,"TEST2","CODE-1.0"
"58",NA,6e-05,"LIB-2.0","HEU-MET-FAST-009-001",1.0075154,"TEST2","CODE-1.0"
"59",NA,6e-05,"LIB-2.0","HEU-MET-FAST-009-002",1.0066367,"TEST2","CODE-1.0"
"60",NA,7e-05,"LIB-2.0","HEU-MET-FAST-010-001",1.0084749,"TEST2","CODE-1.0"
"61",NA,6e-05,"LIB-2.0","HEU-MET-FAST-010-002",1.0077881,"TEST2","CODE-1.0"
"62",NA,7e-05,"LIB-2.0","HEU-MET-FAST-011-001",1.0088991,"TEST2","CODE-1.0"
