"","MODEL","CALCERR","LIBVER","FULLID","CALCVAL","INST","CODE"
"1",NA,7e-05,"ENDFB-VII.1","HEU-COMP-INTER-003-001",1.00638,"LANL","MCNP6.1.1beta"
"2",NA,8e-05,"ENDFB-VII.1","HEU-COMP-INTER-003-002",1.00585,"LANL","MCNP6.1.1beta"
"3",NA,8e-05,"ENDFB-VII.1","HEU-COMP-INTER-003-003",1.00552,"LANL","MCNP6.1.1beta"
"4",NA,8e-05,"ENDFB-VII.1","HEU-COMP-INTER-003-004",1.00402,"LANL","MCNP6.1.1beta"
"5",NA,8e-05,"ENDFB-VII.1","HEU-COMP-INTER-003-005",1.00574,"LANL","MCNP6.1.1beta"
"6",NA,8e-05,"ENDFB-VII.1","HEU-COMP-INTER-003-006",0.99612,"LANL","MCNP6.1.1beta"
"7",NA,8e-05,"ENDFB-VII.1","HEU-COMP-INTER-003-007",0.99587,"LANL","MCNP6.1.1beta"
"8",NA,4e-05,"ENDFB-VII.1","HEU-COMP-INTER-005-001",1.04067,"LANL","MCNP6.1.1beta"
"9",NA,4e-05,"ENDFB-VII.1","HEU-COMP-INTER-005-002",1.09772,"LANL","MCNP6.1.1beta"
"10",NA,4e-05,"ENDFB-VII.1","HEU-COMP-INTER-005-003",1.05109,"LANL","MCNP6.1.1beta"
"11",NA,4e-05,"ENDFB-VII.1","HEU-COMP-INTER-005-004",1.17698,"LANL","MCNP6.1.1beta"
"12",NA,4e-05,"ENDFB-VII.1","HEU-COMP-INTER-005-005",0.93302,"LANL","MCNP6.1.1beta"
"13","Godiva",6e-05,"ENDFB-VII.1","HEU-MET-FAST-001-001",0.99977,"LANL","MCNP6.1.1beta"
"14",NA,6e-05,"ENDFB-VII.1","HEU-MET-FAST-002-002",1.00228,"LANL","MCNP6.1.1beta"
"15",NA,6e-05,"ENDFB-VII.1","HEU-MET-FAST-002-003",1.00038,"LANL","MCNP6.1.1beta"
"16",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-002-004",0.99955,"LANL","MCNP6.1.1beta"
"17",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-002-005",0.99989,"LANL","MCNP6.1.1beta"
"18",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-002-006",1.00125,"LANL","MCNP6.1.1beta"
"19",NA,6e-05,"ENDFB-VII.1","HEU-MET-FAST-003-001",0.99502,"LANL","MCNP6.1.1beta"
"20",NA,6e-05,"ENDFB-VII.1","HEU-MET-FAST-003-002",0.99445,"LANL","MCNP6.1.1beta"
"21",NA,6e-05,"ENDFB-VII.1","HEU-MET-FAST-003-003",0.99897,"LANL","MCNP6.1.1beta"
"22",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-003-004",0.99727,"LANL","MCNP6.1.1beta"
"23",NA,6e-05,"ENDFB-VII.1","HEU-MET-FAST-003-005",1.00144,"LANL","MCNP6.1.1beta"
"24",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-003-006",1.00155,"LANL","MCNP6.1.1beta"
"25",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-003-007",1.002,"LANL","MCNP6.1.1beta"
"26",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-003-008",1.00211,"LANL","MCNP6.1.1beta"
"27",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-003-009",1.00223,"LANL","MCNP6.1.1beta"
"28",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-003-010",1.00505,"LANL","MCNP6.1.1beta"
"29",NA,6e-05,"ENDFB-VII.1","HEU-MET-FAST-003-011",1.00881,"LANL","MCNP6.1.1beta"
"30",NA,6e-05,"ENDFB-VII.1","HEU-MET-FAST-003-012",1.00862,"LANL","MCNP6.1.1beta"
"31","3-D Idealization",8e-05,"ENDFB-VII.1","HEU-MET-FAST-004-001",1.00293,"LANL","MCNP6.1.1beta"
"32",NA,6e-05,"ENDFB-VII.1","HEU-MET-FAST-005-001",0.99519,"LANL","MCNP6.1.1beta"
"33",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-005-002",0.99799,"LANL","MCNP6.1.1beta"
"34",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-005-003",1.0005,"LANL","MCNP6.1.1beta"
"35",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-005-004",0.99437,"LANL","MCNP6.1.1beta"
"36",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-005-005",0.99901,"LANL","MCNP6.1.1beta"
"37",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-005-006",0.99769,"LANL","MCNP6.1.1beta"
"38",NA,6e-05,"ENDFB-VII.1","HEU-MET-FAST-007-001",0.99305,"LANL","MCNP6.1.1beta"
"39",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-007-002",0.99867,"LANL","MCNP6.1.1beta"
"40",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-007-003",1.00006,"LANL","MCNP6.1.1beta"
"41",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-007-004",0.99829,"LANL","MCNP6.1.1beta"
"42",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-007-005",1.00024,"LANL","MCNP6.1.1beta"
"43",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-007-006",1.0057,"LANL","MCNP6.1.1beta"
"44",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-007-007",1.00155,"LANL","MCNP6.1.1beta"
"45",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-007-008",0.99946,"LANL","MCNP6.1.1beta"
"46",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-007-009",1.00339,"LANL","MCNP6.1.1beta"
"47",NA,8e-05,"ENDFB-VII.1","HEU-MET-FAST-007-010",0.99922,"LANL","MCNP6.1.1beta"
"48",NA,6e-05,"ENDFB-VII.1","HEU-MET-FAST-007-019",0.9968,"LANL","MCNP6.1.1beta"
"49",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-007-020",0.99824,"LANL","MCNP6.1.1beta"
"50",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-007-021",0.99897,"LANL","MCNP6.1.1beta"
"51",NA,7e-05,"ENDFB-VII.1","HEU-MET-FAST-007-022",0.99952,"LANL","MCNP6.1.1beta"
"52",NA,8e-05,"ENDFB-VII.1","HEU-MET-FAST-007-023",0.9993,"LANL","MCNP6.1.1beta"
"53",NA,8e-05,"ENDFB-VII.1","HEU-MET-FAST-007-024",0.99965,"LANL","MCNP6.1.1beta"
"54",NA,8e-05,"ENDFB-VII.1","HEU-MET-FAST-007-025",0.99853,"LANL","MCNP6.1.1beta"
"55",NA,8e-05,"ENDFB-VII.1","HEU-MET-FAST-007-026",0.99871,"LANL","MCNP6.1.1beta"
